 Total Nb of available Diagnostics: ndiagt=   245
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    99 |MoistCor| 15 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |gT_Forc | 15 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   101 |gS_Forc | 15 |       |SMR     MR|psu/s           |Salinity forcing tendency
   102 |AB_gT   | 15 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   103 |AB_gS   | 15 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   104 |gTinAB  | 15 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   105 |gSinAB  | 15 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   106 |AB_gU   | 15 |   107 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   107 |AB_gV   | 15 |   106 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   108 |ADVr_TH | 15 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   109 |ADVx_TH | 15 |   110 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   110 |ADVy_TH | 15 |   109 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   111 |DFrE_TH | 15 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   112 |DFxE_TH | 15 |   113 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   113 |DFyE_TH | 15 |   112 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   114 |DFrI_TH | 15 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   115 |ADVr_SLT| 15 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   116 |ADVx_SLT| 15 |   117 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   117 |ADVy_SLT| 15 |   116 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   118 |DFrE_SLT| 15 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   119 |DFxE_SLT| 15 |   120 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   120 |DFyE_SLT| 15 |   119 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   121 |DFrI_SLT| 15 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   122 |SALTFILL| 15 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   123 |VISCAHZ | 15 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   124 |VISCA4Z | 15 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   125 |VISCAHD | 15 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   126 |VISCA4D | 15 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   127 |VISCAHW | 15 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   128 |VISCA4W | 15 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   129 |VAHZMAX | 15 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   130 |VA4ZMAX | 15 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   131 |VAHDMAX | 15 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   132 |VA4DMAX | 15 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   133 |VAHZMIN | 15 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   134 |VA4ZMIN | 15 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   135 |VAHDMIN | 15 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   136 |VA4DMIN | 15 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   137 |VAHZLTH | 15 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   138 |VA4ZLTH | 15 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   139 |VAHDLTH | 15 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   140 |VA4DLTH | 15 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   141 |VAHZLTHD| 15 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   142 |VA4ZLTHD| 15 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   143 |VAHDLTHD| 15 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   144 |VA4DLTHD| 15 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   145 |VAHZSMAG| 15 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   146 |VA4ZSMAG| 15 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   147 |VAHDSMAG| 15 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   148 |VA4DSMAG| 15 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   149 |momKE   | 15 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   150 |momHDiv | 15 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   151 |momVort3| 15 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   152 |Strain  | 15 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   153 |Tension | 15 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   154 |UBotDrag| 15 |   155 |UUR     MR|m/s^2           |U momentum tendency from Bottom Drag
   155 |VBotDrag| 15 |   154 |VVR     MR|m/s^2           |V momentum tendency from Bottom Drag
   156 |USidDrag| 15 |   157 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   157 |VSidDrag| 15 |   156 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   158 |Um_Diss | 15 |   159 |UUR     MR|m/s^2           |U momentum tendency from Dissipation
   159 |Vm_Diss | 15 |   158 |VVR     MR|m/s^2           |V momentum tendency from Dissipation
   160 |Um_Advec| 15 |   161 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   161 |Vm_Advec| 15 |   160 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   162 |Um_Cori | 15 |   163 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   163 |Vm_Cori | 15 |   162 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   164 |Um_dPHdx| 15 |   165 |UUR     MR|m/s^2           |U momentum tendency from Hydrostatic Pressure grad
   165 |Vm_dPHdy| 15 |   164 |VVR     MR|m/s^2           |V momentum tendency from Hydrostatic Pressure grad
   166 |Um_Ext  | 15 |   167 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   167 |Vm_Ext  | 15 |   166 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   168 |Um_AdvZ3| 15 |   169 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   169 |Vm_AdvZ3| 15 |   168 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   170 |Um_AdvRe| 15 |   171 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   171 |Vm_AdvRe| 15 |   170 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   172 |ADVx_Um | 15 |   173 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   173 |ADVy_Um | 15 |   172 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   174 |ADVrE_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   175 |ADVx_Vm | 15 |   176 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   176 |ADVy_Vm | 15 |   175 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   177 |ADVrE_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   178 |VISCx_Um| 15 |   179 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   179 |VISCy_Um| 15 |   178 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   180 |VISrE_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   181 |VISrI_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   182 |VISCx_Vm| 15 |   183 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   183 |VISCy_Vm| 15 |   182 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   184 |VISrE_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   185 |VISrI_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   186 |GM_VisbK|  1 |       |SM P    M1|m^2/s           |Mixing coefficient from Visbeck etal parameterization
   187 |GM_hTrsL|  1 |       |SM P    M1|m               |Base depth (>0) of the Transition Layer
   188 |GM_baseS|  1 |       |SM P    M1|1               |Slope at the base of the Transition Layer
   189 |GM_rLamb|  1 |       |SM P    M1|1/m             |Slope vertical gradient at Trans. Layer Base (=recip.Lambda)
   190 |SubMesLf|  1 |       |SM P    M1|m               |Sub-Meso horiz. Length Scale (Lf)
   191 |SubMpsiX|  1 |   192 |UU      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): U component
   192 |SubMpsiY|  1 |   191 |VV      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): V component
   193 |GM_Kux  | 15 |   194 |UU P    MR|m^2/s           |K_11 element (U.point, X.dir) of GM-Redi tensor
   194 |GM_Kvy  | 15 |   193 |VV P    MR|m^2/s           |K_22 element (V.point, Y.dir) of GM-Redi tensor
   195 |GM_Kuz  | 15 |   196 |UU      MR|m^2/s           |K_13 element (U.point, Z.dir) of GM-Redi tensor
   196 |GM_Kvz  | 15 |   195 |VV      MR|m^2/s           |K_23 element (V.point, Z.dir) of GM-Redi tensor
   197 |GM_Kwx  | 15 |   198 |UM      LR|m^2/s           |K_31 element (W.point, X.dir) of GM-Redi tensor
   198 |GM_Kwy  | 15 |   197 |VM      LR|m^2/s           |K_32 element (W.point, Y.dir) of GM-Redi tensor
   199 |GM_Kwz  | 15 |       |WM P    LR|m^2/s           |K_33 element (W.point, Z.dir) of GM-Redi tensor
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |GM_PsiX | 15 |   201 |UU      LR|m^2/s           |GM Bolus transport stream-function : U component
   201 |GM_PsiY | 15 |   200 |VV      LR|m^2/s           |GM Bolus transport stream-function : V component
   202 |GM_KuzTz| 15 |   203 |UU      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: X component
   203 |GM_KvzTz| 15 |   202 |VV      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: Y component
   204 |GM_KwzTz| 15 |       |WM      LR|degC.m^3/s      |Redi main-diagonal vertical Temperature flux
   205 |GM_ubT  | 15 |   206 |UUr     MR|degC.m^3/s      |Zonal Mass-Weight Bolus Transp of Pot Temp
   206 |GM_vbT  | 15 |   205 |VVr     MR|degC.m^3/s      |Meridional Mass-Weight Bolus Transp of Pot Temp
   207 |GM_BVPcW|  1 |   208 |SU P    M1|m/s             |WKB wave speed (at Western edge location)
   208 |GM_BVPcS|  1 |   207 |SV P    M1|m/s             |WKB wave speed (at Southern edge location)
   209 |TRAC01  | 15 |       |SMR     MR|kg/kg           |Age_tracer concentration
   210 |UTRAC01 | 15 |   211 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Age_tracer
   211 |VTRAC01 | 15 |   210 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Age_tracer
   212 |WTRAC01 | 15 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Age_tracer
   213 |ForcTr01| 15 |       |SMR     MR|kg/kg/s         |Age_tracer forcing tendency
   214 |AB_gTr01| 15 |       |SMR     MR|kg/kg/s         |Age_tracer tendency from Adams-Bashforth
   215 |ADVrTr01| 15 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Age_tracer
   216 |ADVxTr01| 15 |   217 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Age_tracer
   217 |ADVyTr01| 15 |   216 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Age_tracer
   218 |DFrETr01| 15 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Age_tracer (Explicit part)
   219 |DFxETr01| 15 |   220 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Age_tracer
   220 |DFyETr01| 15 |   219 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Age_tracer
   221 |DFrITr01| 15 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Age_tracer (Implicit part)
   222 |Add2EmP |  1 |       |SM      U1|kg/m^2/s        |additional EmP from salt relaxation
   223 |LaTr1RHO| 15 |       |SMR     MR|kg/m^3          |Pot. density (minus 1000) for layer averaging, ref_z=   -25.00,   1
   224 |LaUH1RHO| 30 |   225 |UU      MX|m.m/s           |Layer Integrated  zonal Transport (UH, m^2/s)
   225 |LaVH1RHO| 30 |   224 |VV      MX|m.m/s           |Layer Integrated merid. Transport (VH, m^2/s)
   226 |LaHw1RHO| 30 |   227 |SU      MX|m               |Layer Thickness at U points (m)
   227 |LaHs1RHO| 30 |   226 |SV      MX|m               |Layer Thickness at V points (m)
   228 |LaPw1RHO| 30 |   229 |SU      MX|1               |Layer Probability at U points [-]
   229 |LaPs1RHO| 30 |   228 |SV      MX|1               |Layer Probability at V points [-]
   230 |LaUa1RHO| 30 |   231 |UU      MX|m/s             |Layer-averaged U velocity (non-weighted) (m/s)
   231 |LaVa1RHO| 30 |   230 |VV      MX|m/s             |Layer-averaged V velocity (non-weighted) (m/s)
   232 |LaHc1RHO| 30 |       |SM      MX|m               |Layer Thickness at tracer points (m)
   233 |LaTs1RHO| 29 |       |SM      MX|m deg./s        |Layer THETA transformation from surf. forc.
   234 |LaTh1RHO| 29 |       |SM      MX|m deg./s        |Layer THETA transformation from horiz. diff.
   235 |LaTz1RHO| 29 |       |SM      MX|m deg./s        |Layer THETA transformation from vert. diff.
   236 |LTha1RHO| 29 |       |SM      MX|m deg./s        |Layer THETA transformation from horiz. adv.
   237 |LTza1RHO| 29 |       |SM      MX|m deg./s        |Layer THETA transformation from vert. adv.
   238 |LTto1RHO| 29 |       |SM      MX|m deg./s        |Layer THETA transformation from total tend
   239 |LaSs1RHO| 29 |       |SM      MX|m PSU/s         |Layer SALT transformation from surf. forc.
   240 |LaSh1RHO| 29 |       |SM      MX|m PSU/s         |Layer SALT transformation from horiz. diff.
   241 |LaSz1RHO| 29 |       |SM      MX|m PSU/s         |Layer SALT transformation from vert. diff.
   242 |LSha1RHO| 29 |       |SM      MX|m PSU/s         |Layer SALT transformation from horiz. adv.
   243 |LSza1RHO| 29 |       |SM      MX|m PSU/s         |Layer SALT transformation from vert. adv.
   244 |LSto1RHO| 29 |       |SM      MX|m PSU/s         |Layer SALT transformation from total tend
   245 |LaPc1RHO| 30 |       |SM      MX|1               |Layer Probability at tracer points [-]
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
